183	218.09	90.00	233.74	15.65
179	226.92	90.00	242.57	15.65
179	228.68	90.00	244.33	15.65
179	230.45	90.00	246.10	15.65
179	232.21	90.00	247.86	15.65
179	233.98	90.00	249.63	15.65
179	235.74	90.00	251.39	15.65
180	237.67	90.00	253.32	15.65
180	239.27	90.00	254.92	15.65
181	241.19	90.00	256.84	15.65
176	242.80	90.00	258.45	15.65
177	244.72	90.00	260.37	15.65
178	246.33	90.00	261.98	15.65
179	248.25	90.00	263.90	15.65
181	249.86	90.00	265.51	15.65
183	251.78	90.00	267.43	15.65
184	253.39	90.00	269.04	15.65
191	256.92	90.00	272.57	15.65
194	258.68	90.00	274.33	15.65
196	260.45	90.00	276.10	15.65
200	262.21	90.00	277.86	15.65
210	263.98	90.00	279.63	15.65
214	265.58	90.00	281.23	15.65
219	267.51	90.00	283.16	15.65
225	269.11	90.00	284.76	15.65
229	270.87	90.00	286.52	15.65
234	272.64	90.00	288.29	15.65
239	274.40	90.00	290.05	15.65
233	276.17	90.00	291.82	15.65
238	277.77	90.00	293.42	15.65
243	279.70	90.00	295.35	15.65
239	281.30	90.00	296.95	15.65
233	283.23	90.00	298.88	15.65
228	284.83	90.00	300.48	15.65
218	288.04	90.00	303.69	15.65
213	289.80	90.00	305.45	15.65
208	291.57	90.00	307.22	15.65
203	293.33	90.00	308.98	15.65
200	295.10	90.00	310.75	15.65
196	296.86	90.00	312.51	15.65
192	298.63	90.00	314.28	15.65
189	300.39	90.00	316.04	15.65
186	302.16	90.00	317.81	15.65
184	303.92	90.00	319.57	15.65
183	305.69	90.00	321.34	15.65
181	307.45	90.00	323.10	15.65
179	309.22	90.00	324.87	15.65
177	310.82	90.00	326.47	15.65
176	312.75	90.00	328.40	15.65
175	314.35	90.00	330.00	15.65
174	317.72	90.00	333.37	15.65
170	319.48	90.00	335.13	15.65
170	321.25	90.00	336.90	15.65
169	323.01	90.00	338.66	15.65
169	324.94	90.00	340.59	15.65
169	326.86	90.00	342.51	15.65
169	328.63	90.00	344.28	15.65
169	330.39	90.00	346.04	15.65
169	332.32	90.00	347.97	15.65
170	333.92	90.00	349.57	15.65
171	335.85	90.00	351.50	15.65
170	337.45	90.00	353.10	15.65
176	339.38	90.00	355.03	15.65
177	340.98	90.00	356.63	15.65
178	342.91	90.00	358.56	15.65
179	-31.30	90.00	0.00	31.30
182	-29.54	90.00	1.76	31.30
185	-26.49	90.00	4.81	31.30
186	-24.72	90.00	6.58	31.30
189	-22.96	90.00	8.34	31.30
170	-21.19	90.00	10.11	31.30
170	-19.43	90.00	11.87	31.30
191	-17.82	90.00	13.48	31.30
203	-15.90	90.00	15.40	31.30
178	-14.29	90.00	17.01	31.30
181	-12.53	90.00	18.77	31.30
202	-10.77	90.00	20.53	31.30
197	-8.84	90.00	22.46	31.30
196	-7.24	90.00	24.06	31.30
207	-5.47	90.00	25.83	31.30
232	-3.71	90.00	27.59	31.30
235	-2.10	90.00	29.20	31.30
226	-0.34	90.00	30.96	31.30
220	1.43	90.00	32.73	31.30
