171	220.04	90.00	246.74	26.73
164	229.26	90.00	256.04	26.81
162	231.26	90.00	258.13	26.89
161	233.10	90.00	260.05	26.98
162	234.94	90.00	261.98	27.06
161	236.79	90.00	263.90	27.15
159	238.63	90.00	265.83	27.23
160	240.47	90.00	267.75	27.31
162	242.31	90.00	269.68	27.40
163	244.15	90.00	271.60	27.48
164	245.99	90.00	273.53	27.56
164	247.84	90.00	275.45	27.65
166	249.52	90.00	277.22	27.73
167	251.36	90.00	279.14	27.81
168	253.21	90.00	281.07	27.89
169	254.89	90.00	282.83	27.97
171	256.73	90.00	284.76	28.14
175	260.26	90.00	288.45	28.22
177	262.10	90.00	290.37	28.30
176	263.95	90.00	292.30	28.38
178	265.63	90.00	294.06	28.46
181	267.48	90.00	295.99	28.54
183	269.32	90.00	297.91	28.62
187	271.16	90.00	299.84	28.71
190	272.84	90.00	301.60	28.79
196	274.53	90.00	303.37	28.87
201	276.37	90.00	305.29	28.95
207	278.22	90.00	307.22	29.03
213	280.06	90.00	309.14	29.11
225	281.74	90.00	310.91	29.19
231	283.59	90.00	312.83	29.27
237	285.27	90.00	314.60	29.36
239	287.11	90.00	316.52	29.43
233	288.89	90.00	318.45	29.59
224	292.18	90.00	321.82	29.66
218	293.87	90.00	323.58	29.75
214	295.71	90.00	325.51	29.82
209	297.56	90.00	327.43	29.91
205	299.40	90.00	329.36	29.99
201	301.08	90.00	331.12	30.07
196	302.77	90.00	332.89	30.15
194	304.61	90.00	334.81	30.23
192	306.46	90.00	336.74	30.31
190	308.30	90.00	338.66	30.39
188	310.14	90.00	340.59	30.48
186	311.98	90.00	342.51	30.56
184	313.66	90.00	344.28	30.64
183	315.51	90.00	346.20	30.72
183	317.19	90.00	347.97	30.81
179	319.04	90.00	349.89	30.95
179	322.26	90.00	353.26	31.03
178	323.94	90.00	355.03	31.11
178	325.79	90.00	356.95	31.19
178	327.63	90.00	358.88	31.27
178	-30.69	90.00	0.64	31.36
178	-28.84	90.00	2.57	31.44
178	-27.16	90.00	4.33	31.52
179	-25.48	90.00	6.10	31.59
179	-23.63	90.00	8.02	31.68
177	-21.79	90.00	9.95	31.76
178	-20.10	90.00	11.71	31.84
179	-18.42	90.00	13.48	31.91
180	-16.57	90.00	15.40	32.00
182	-14.73	90.00	17.33	32.08
184	-13.05	90.00	19.09	32.16
186	-11.36	90.00	20.86	32.24
188	-9.51	90.00	22.78	32.38
192	-6.45	90.00	25.99	32.46
197	-4.61	90.00	27.91	32.54
203	-2.76	90.00	29.84	32.62
207	-0.92	90.00	31.76	32.71
212	0.77	90.00	33.53	32.78
217	2.46	90.00	35.29	32.86
223	4.30	90.00	37.22	32.95
228	5.99	90.00	38.98	33.02
233	7.68	90.00	40.75	33.10
237	9.52	90.00	42.67	33.18
232	11.20	90.00	44.44	33.26
237	12.89	90.00	46.20	33.34
243	14.74	90.00	48.13	33.42
238	16.58	90.00	50.05	33.50
231	18.26	90.00	51.82	33.59
226	19.95	90.00	53.58	33.66
219	21.79	90.00	55.51	33.74
214	23.64	90.00	57.43	33.89
204	26.86	90.00	60.80	33.97
201	28.55	90.00	62.57	34.05
196	30.23	90.00	64.33	34.13
193	32.07	90.00	66.26	34.21
190	33.77	90.00	68.02	34.28
187	35.61	90.00	69.95	34.37
185	37.29	90.00	71.71	34.45
183	39.14	90.00	73.64	34.53
182	40.82	90.00	75.40	34.61
180	42.67	90.00	77.33	34.69
177	44.51	90.00	79.25	34.77
176	46.35	90.00	81.18	34.86
175	48.03	90.00	82.94	34.94
174	49.88	90.00	84.87	35.02
174	51.56	90.00	86.63	35.10
172	57.51	90.00	92.89	35.41
173	60.31	90.00	95.78	35.50
175	62.16	90.00	97.70	35.64
172	65.37	90.00	101.07	35.73
175	67.22	90.00	102.99	35.80
174	69.06	90.00	104.92	35.89
176	70.74	90.00	106.68	35.97
177	72.43	90.00	108.45	36.05
179	74.28	90.00	110.37	36.12
179	76.12	90.00	112.30	36.21
180	77.80	90.00	114.06	36.29
184	79.64	90.00	115.99	36.37
185	81.33	90.00	117.75	36.45
187	83.18	90.00	119.68	36.53
190	85.02	90.00	121.60	36.61
170	86.70	90.00	123.37	36.69
172	88.39	90.00	125.13	36.77
202	90.24	90.00	127.06	36.85
187	92.08	90.00	128.98	36.93
176	93.76	90.00	130.75	37.09
198	97.30	90.00	134.44	37.17
193	99.14	90.00	136.36	37.25
204	100.98	90.00	138.29	37.34
232	102.66	90.00	140.05	37.42
235	104.35	90.00	141.82	37.50
227	106.19	90.00	143.74	37.57
218	108.04	90.00	145.67	37.66
211	109.88	90.00	147.59	37.74
208	111.56	90.00	149.36	37.82
219	113.40	90.00	151.28	37.91
219	115.25	90.00	153.21	37.99
215	116.93	90.00	154.97	38.07
210	118.77	90.00	156.90	38.15
205	120.62	90.00	158.82	38.23
215	122.46	90.00	160.75	38.31
213	124.14	90.00	162.51	38.40
208	127.53	90.00	166.04	38.54
206	129.21	90.00	167.81	38.63
205	131.06	90.00	169.73	38.70
202	132.90	90.00	171.66	38.79
200	134.58	90.00	173.42	38.87
199	136.42	90.00	175.35	38.95
184	138.11	90.00	177.11	39.03
184	139.95	90.00	179.04	39.11
184	141.80	90.00	180.96	39.19
183	143.64	90.00	182.89	39.27
182	145.32	90.00	184.65	39.36
182	147.01	90.00	186.42	39.44
182	148.86	90.00	188.34	39.51
182	150.70	90.00	190.27	39.60
183	152.38	90.00	192.03	39.68
183	154.07	90.00	193.80	39.76
184	155.91	90.00	195.72	39.91
186	159.29	90.00	199.25	39.99
